region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Minjur,2019-05-06,2019-06-05,0.36622695500216196,0.28410161090458486,0.024502550090501007,0.21649219330855018,0.01430630290237056,0.1712158612143742,0.017890692412536904,754.7993688949717,5.709316080892855e-05,0.14678258912675016,0.0032009774195932072,0.00011658065837903903,8.834494454185824e-07
Minjur,2019-06-05,2019-07-05,-0.3173383261561753,0.3412657682775712,0.02194305396218828,0.23056626394052046,0.013327473606590562,0.2087851610904585,0.012862056600715406,754.7993688949717,5.709316080892855e-05,0.1559114087937444,0.0030406581597613616,0.00010016355029273851,9.873880706768615e-07
Minjur,2019-07-05,2019-08-04,0.48176146788990337,0.4278705080545229,0.041711324193464114,0.2817571664601405,0.04195142611137044,0.26724473358116485,0.0398205444951333,754.7993688949717,5.709316080892855e-05,0.14879890905556772,0.006629480229238519,7.59738440106711e-05,1.7416684687843817e-06
Minjur,2019-09-03,2019-10-03,-1.4677457404980743,0.6397370198265181,0.05691207230991925,0.4640749690210658,0.06341040030773688,0.45330501858736066,0.05654023733147958,754.7993688949717,5.709316080892855e-05,0.15159129238272562,0.0060652424587522465,7.608744511781005e-05,3.8216053199484093e-07
Minjur,2019-10-03,2019-11-02,-0.5492442114460729,0.5124424101610905,0.08649452746416976,0.318905142503098,0.05869116194312736,0.31019798636926893,0.058739219423120506,754.7993688949717,5.709316080892855e-05,0.12896041976754957,0.017665217588563355,7.8534273057582e-05,1.0815788805289884e-06
Minjur,2019-11-02,2019-12-02,-0.6664150908069715,0.6377281701776126,0.05681653695472596,0.3860283353985956,0.0581465049823859,0.37576559273027677,0.054548907559841577,754.7993688949717,5.709316080892855e-05,0.12049408511596969,0.01587156085484019,5.382030843049211e-05,2.0232370320143187e-06
Minjur,2019-12-02,2020-01-01,-0.22385880240334188,0.6069236988847584,0.08634897581905691,0.4016676270136308,0.07705706178854975,0.39508506815365557,0.0758374072852572,754.7993688949717,5.709316080892855e-05,0.1201227591904172,0.011793106508088078,4.744313942346701e-05,2.2380777127106245e-06
Minjur,2020-01-01,2020-01-31,0.6211772068037114,0.5876254027261463,0.07098608516539903,0.35600535935563815,0.0648296349095069,0.3425051115241637,0.06370231304670132,754.7993688949717,5.709316080892855e-05,0.13215929722074704,0.006374672978306796,7.348104316257194e-05,1.7208158879362548e-06
Minjur,2020-01-31,2020-03-01,0.5238224466215584,0.5277178128872367,0.05162464049133332,0.32724395910780674,0.03729948357027716,0.3130520755885998,0.035566192553243184,754.7993688949717,5.709316080892855e-05,0.14012096597302345,0.004457211673095607,0.00012097899546714965,6.6195745805574635e-06
Minjur,2020-03-01,2020-03-31,0.3232232645834614,0.44845539033457255,0.0408688967155951,0.2926916666666667,0.025014250430692792,0.2669056381660471,0.02550514022181389,754.7993688949717,5.709316080892855e-05,0.1425893703086499,0.004230155244539083,0.00011688641514475414,1.371679298817055e-06
Minjur,2020-03-31,2020-04-30,-0.03812093673034411,0.4616071871127634,0.03949041528403496,0.30792090045435777,0.029346537925187204,0.28370111524163577,0.02718554526817066,754.7993688949717,5.709316080892855e-05,0.14087059066501445,0.0048338505470387465,6.972945493486546e-05,6.64557787937617e-07
Minjur,2020-04-30,2020-05-30,0.8266559216958882,0.4072417596034697,0.0429045811765776,0.29538962205700126,0.02608972798344283,0.26150870508054525,0.029655348214687422,754.7993688949717,5.709316080892855e-05,0.1443475836431227,0.006767728775429837,8.18063388127204e-05,1.4571072373377437e-06
Minjur,2020-05-30,2020-06-29,0.022359108781095927,0.4109066914498141,0.05239440338298929,0.23437837670384137,0.016218742774565014,0.2132970570012392,0.015613195228215365,754.7993688949717,5.709316080892855e-05,0.14059716695614546,0.008186641068451956,9.237141227254003e-05,7.582090277724398e-07
Minjur,2020-06-29,2020-07-29,0.2744167758846672,0.5510517657992566,0.0355630281979653,0.3090768897149938,0.036535457948409594,0.2935203841387857,0.03601416604962565,754.7993688949717,5.709316080892855e-05,0.14414062994618554,0.005573677925167542,7.062032032243734e-05,1.6070509658583433e-06
Minjur,2020-07-29,2020-08-28,-0.5337876802097128,0.33293254853366394,0.02011684919483567,0.25655249896736887,0.022541799137009964,0.24977728211482864,0.021153309023386458,754.7993688949717,5.709316080892855e-05,,,6.463503418876867e-05,1.2754680528867572e-06
Minjur,2020-08-28,2020-09-27,-0.5343993010047825,0.5730611524163569,0.05376788764855419,0.3638889405204461,0.05379807942305529,0.3446249070631971,0.05167581554372756,754.7993688949717,5.709316080892855e-05,0.14094595010008582,0.006366319737579378,8.1268946988025e-05,3.2154439790708528e-06
Minjur,2020-09-27,2020-10-27,-0.4458663171690773,0.6078177509293681,0.05429215015413704,0.44627946096654275,0.06198913715321429,0.43359708798017343,0.05944785719106583,754.7993688949717,5.709316080892855e-05,0.15166304347826084,0.004330127018921955,8.470285362226963e-05,1.02670505594612e-06
